Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-14,"IGI metro to expand, reach Dwarka sector 25",map,development,5,1,1,1.5,colour,no,no
Dec-14,Pollution-hit delhi awaits comic relief on weekend,map,entertainment,5,3,3,2.8,colour,yes,no
Dec-14,The most and least punished crimes in India,"bubble chart, jumbo figures, ring chart",crime,9,2,2,8,colour,no,yes
Dec-14,India's first new sub in 17 years to be commissioned today,jumbo figures,technology,19,2,3,2.5,colour,yes,no
Dec-14,Bahubali to Bitcoins: What Indians searched for in 2017,list,lifestyle,19,3,3,3.5,colour,no,yes
Dec-14,Income tax lens on bitcoin exchanges across 6 countries,line chart,economic,23,2,1,1.8,colour,no,no
Dec-14,US Fed raises rates by 25bps,table,economic,23,3,1.5,2,colour,no,no
Dec-14,Indian solar power sector catches November chill,stacked bar chart,development,24,1,2,2.2,colour,no,no
Dec-14,Hitman's triple double,"jumbo figures, bubble chart",sports,25,"1, 2",8,2.5,colour,yes,no
Dec-14,Voting in 93 seats today,"ring chart, icons, bar chart, map, bubble chart, colour, visual depiction of numbers",politics,2,1,4,5.5,colour,yes,no
Dec-14,Citizen reporter,map,public opinion,2,4,4,9,colour,yes,no
Dec-15,"BJP to retain Gujarat, rout Congress in Himachal: Exit Polls",table,politics,1,2,2,1.9,colour,yes,no
Dec-15,Pollution watch,"bar chart, colour",environment,4,2,1,5.7,colour,no,no
Dec-15,"Rita completes 57, gets special meal and a movie to watch",jumbo figures,lifestyle,4,1,1.2,1.8,colour,yes,no
Dec-15,Mother kills 6-yr-old for seeing her with lover,process,crime,4,"1, 2, 3, 4",3,4,colour,no,yes
Dec-15,"South corp launches parking app, will help book slots in advance","map, list, process",technology,6,1,3,4,colour,yes,no
Dec-15,Movie reviews,visual depiction of numbers,entertainment,6,1,1.5,1,colour,yes,no
Dec-15,85000 students dropped out last year,"bar chart, line chart, bubble chart, jumbo figures, ring chart, table",education,7,"1, 2",5,7,colour,no,yes
Dec-15,Desi diaspora largest in the world,"table, bar chart",foreign affairs,12,2,2,3.7,colour,no,no
Dec-15,Healthcare costs land 5cr Indians in poverty,bar chart,health,18,2,2,2.5,colour,yes,no
Dec-15,WPI inflation hits 8 month high in Nov on veggie prices,line chart,economic,27,1,1,2.2,colour,no,no
Dec-15,Disney gets ammo to fight digital rivals,bar chart,entertainment,27,1,1,1.8,colour,yes,no
Dec-16,E-payments to surge as governmet to bear treaders' cost on debit card buys,"icons, jumbo figures, table",economic,1,2,2,1.8,colour,no,no
Dec-16,Adya death: Fortis took up to 1700% margin on items,"table, colour",health,1,1,2,1.9,colour,no,no 
Dec-16,Cityweather,icons,weather,2,2,1,1.7,colour,no,no
Dec-16,how city turned the corner after nirbhaya,"table, list, icons",crime,2,"1, 2 ",3,5,colour,no,yes
Dec-16,2012 rapists were nailed with many policing firsts,list,crime,2,4,2,2,colour,no,no
Dec-16,Movie reviews,Visual depiction of numbers,entertainment,4,"1, 2",1.5,0.8,colour,yes,no
Dec-16,Delhi police traffic advisory,"map, icons, table, list",campaign,4,"3, 4",5,5.5,colour,yes,yes
Dec-16,Five worst traffic stretches,"bar chart, list",transport,6,2,1,4,colour,no ,no 
Dec-16,"Nasa data shows no reduction in crip fires, 2016 worst year",bar chart,environment,6,"1, 2, 3, 4",2,1.7,colour,no,no
Dec-16,Only corridor nor to a fare hike: 55000 took airport line daily in nov,"map, jumbo figures",transport,11,2,3,3,colour,yes,no
Dec-16,Beginning of end for tainted MCI: cabinet OKs reform,list,education,12,2,2,2,colour,no,yes
Dec-16,Times group survey: 79% of people say modi will lead govt again in '19,"ring chart, colour, bubble, pie chart",politics,14,"1, 2",4,3.5,colour,yes,no
Dec-16,"Sonia will still be heading the parliamentary party, UPA",table,politics,20,4,1.5,2.5,colour,yes,no
Dec-16,"HDFC, bank arm to raise over $4bn",table,economic,25,2,2,0.8,colour,no,no
Dec-16,SME IPO mop up jumps3 fold,"bar chart, bubble chart",economic,25,2,2,1.9,colour,no,no
Dec-16,16 vaccant ombudsman offices hit policyholders,"table, jumbo figures",economic,25,"1, 4",2,2,colour,no,no
Dec-16,GST slashed on your resturant bills,table,economic,25,4,4,2.3,colour,no,yes
Dec-16,"BFSI to constitute 40%of sensex, an all-time high","icons, stacked bar chart, table",sensex,26,2,2,2.5,colour,no,no
Dec-16,This is what disney fox merger looks like,"icons, list",entertainment,26,1,3,2.8,colour,no,no
Dec-16,Three in play for No. 4,table,sports,27,"1, 2",2.5,0.5,b&w,yes,no
Dec-16,Dwarka freeway to flag off by march 2018,map,development,63,"1, 2",3,4.5,colour,yes,no
Dec-16,Top Premium localities,"map, table",lifestyle,65,"1, 2",4.5,9,colour,no,no
Dec-16,Premium boys near cyber city,"map, jumbo figures",lifestyle,65,"1, 4",2,4,colour,no,no
Dec-17,From busting crime to becoming a criminal himself,"timeline, jumbo figures",crime,4,1,2,4.9,colour,yes,no
Dec-17,Cityweather,icons,weather,4,2,1,1.7,colour,no,no
Dec-17,Commuters can zoom over jams as Mukundpur loop opens,map,transport,5,1,1.2,1.5,colour,yes,no
Dec-17,CCTV footage kills lies of killer husband,timeline,crime,6,1,2,2.9,colour,yes,no
Dec-17,Citizen reporter,map,public opinion,6,2,4,9,colour,yes,no
Dec-17,"PWD, sports club spar over land",map,development,7,2,1.5,1.9,colour,yes,no
Dec-17,Haryana urban development authority e-auction notice,table,economic,11,"3, 4",8,8.8,b&w,yes,no
Dec-17,Two women harassed daily at workplace,bar chart,crime,12,1,2,1,colour,no,yes
Dec-17,Med aspirants blocking seats may lose upto Rs 2L next year,"process, ring chart, jumbo figures",education,14,1,3,4.5,colour,yes,no
Dec-17,screen-savvy oldies,jumbo figures,technology,19,"1, 4",0.5,4.5,colour,yes,no
Dec-17,Why indians prefer to be entrepreneurs,"bar chart, bubble chart, jumbo figures",lifestyle,20,4,1,5.5,colour,no,yes
Dec-17,Deal of the week,jumbo figures,development,20,4,1,2.8,colour,no,no
Dec-17,Incredible fact,jumbo figures,lifestyle,21,1,2.6,5,colour,no,yes
