Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-21,India's biggest T20 win,"table, jumbo figures",sports,18,1,2,4.3,colour,yes,no
Dec-21,Public opinion,pie chart,public opinion,23,"2, 3",1,3.3,colour,no,no
Dec-21,Public health being affected by false claims,"jumbo figures, list",health,23,4,3,2.7,b&w,no,yes
Dec-21,Population is increasing but the health services still the same ,"table, bar chart, jumbo figures",health,23,"2, 3",1,6,colour,no,yes
Dec-21,Health related issues,jumbo figures,health,23,"1, 2",8,1.3,colour,no,yes
Dec-21,Specialised only for the sake of name,jumbo figures,health,23,4,1,0.4,colour,no,no
Dec-22,"Delhi again becomes a smog chamber, AQI reaches 469","map, colour",environment,4,1,2,2.7,colour,yes,no
Dec-22,Increase monitoring station to reduce air pollution,jumbo figures,environment,4,1,1,1.3,colour,no,no
Dec-22,About education,jumbo figures,education,7,1,2,1.3,b&w,no,no
Dec-22,Educational institutes move ahead leaving behind all differences,timeline,education,7,2,1,3.3,colour,yes,no
Dec-22,DU main events timline,list ,education,7,1,2,3.3,colour,yes,no
Dec-22,Public opinion,pie chart,public opinion,12,3,1,1.3,colour,no,no
Dec-22,Heat over gujarat elections not cooling down in parliament,table,politics,13,4,1,2.7,b&w,yes,no
