Date,News,Type of visualizaton,Content it is depicting,page no.(location),quadrant,width (columns),height (inch),colour/ b&w(treatment),photograph,illustration
Dec-26,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-26,Weather watch,"table, map",weather,6,1,2,7,colour,no,no
Dec-26,Unmanned crossings,"map, colour",accidents,9,4,2,3,colour,no,no
Dec-26,Magenta line likely to be completed next year,"map, jumbo figures",transport,19,1,3,3,colour,no,yes
Dec-27,Sunrise-sunset and temperature,"icons, table",weather,3,2,1,2,b&w,no,no
Dec-27,Weather watch,"table, map",weather,6,1,2,7,colour,no,no
Dec-27,"India's first pod taxi on the way, to follow U.S. safety norms","map, jumbo figures",transport,7,1,3,2.5,colour,no,yes
Dec-27,Off target,bar chart,technology,9,4,2,2.5,colour,no,no
Dec-27,GST collection goes down again,area chart,economic,11,2,2,1.8,colour,no,yes
Dec-27,Market watch,table,economic,13,2,1,8.5,colour,no,no
Dec-27,Optimism about public offers endures as best ever year ends,table,economic,14,2,2,4.5,b&w,no,no
Dec-27,Water bills to go up 20% from February 1,table,lifestyle,19,4,2.2,0.6,b&w,yes,no
Dec-28,Infilteration via LoC touches 4 year high: Home Minister,bar chart,foreign affairs,1,1,2,1.5,colour,no,no
Dec-28,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-28,Weather watch,"table, map",weather,6,1,2,7,colour,no,no
Dec-28,On a not-so-fast-lane,table,technology,9,4,2,3,colour,no,no
Dec-28,New frontiers,"map, ring chart, jumbo figures, table, colour",lifestyle,12,3,4,4.5,colour,no,no
Dec-28,Market watch,table,economic,13,2,1,8.5,colour,no,no
Dec-29,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-29,Weather watch,"table, map",weather,6,1,2,7,colour,no,no
Dec-29,More nurses in the south,map,health,9,4,2,3.5,colour,no,no
Dec-29,Market watch,table,economic,13,2,1,8.5,colour,no,no
Dec-30,Sunrise-sunset and temperature,"icons, table",weather,2,2,1,2,b&w,no,no
Dec-30,Lured by blood money,map,lifestyle,7,3,1.5,2,colour,yes,no
Dec-30,Market watch,table,economic,11,2,1,8.5,colour,no,no
Dec-30,Govt. injects funds into 6 public banks,bar chart,economic,11,2,1,2,colour,yes,no
Dec-30,Into the heart of darkness,"map, bar chart, table, jumbo figures",sports,16,"1, 2",8,5,colour,yes,no
Dec-30,Stacking up,table,sports,16,"3, 4",6,4.5,colour,yes,no
Dec-30,Game theory,jumbo figures,sports,16,3,4,5.5,colour,yes,no
Dec-31,Deaths due to respiratory diseases go up; diesel sale falls,"table, bar chart, colour, bubble chart",lifestyle,2,"1, 2",6,4.5,colour,no,yes
Dec-31,Fishermen fume over unreliable warnings,"map, colour",accidents,9,2,2,2.5,colour,no,no
Dec-31,The year that was,jumbo figures,sports,17,3,3,7.5,colour,yes,no
Dec-31,Dangerous times,"bar chart, pie chart",lifestyle,24,1,1,4,colour,yes,no
Dec-31,Small savings rates cut again,table,politics,29,1,2,2,b&w,no,no
Dec-31,Declining steadily,table,economic,27,1,1.5,2,colour,no,no
Dec-31,Bank FD interest rates,table,economic,27,"1, 4",1.5,6.5,colour,no,no
